Level,Experience*,Reliability (Consistency & Difficulty** ),Tactics,Techniques,Arsenal
E-  Absolute Beginner,< 10 hours,"Very low consistency. 
Just making contact.","No rally structure. 
Just reacts to ball.","Forehand only, swing changes every time.",Forehand
E  Early Learner,20–50 hours (1–2 months),"40–55% on easy balls. 
Difficult balls almost always errors.","Understands 'stay at the back' ,
but forgets under pressure.",Basic forehand/backhand shape. , + Backhand
E+  Developing Control,50–100 hours (2–4 months),"60–70% on routine balls. 
Difficult balls rarely controlled.","Can follow rally direction. 
Understands ready position. ","Groundstrokes repeatable. 
First good attempts at back wall."," + Volley, Lob"
D-  Early Structured Player,100–140 hours (4–6 months),"65–75% routine. 
Difficult balls playable 15–20%.","Chooses when to lob/defend. 
Often use a net position. ","First reliable volleys. 
Basic back wall defense."," + Backhand Volley, half-Volley"
D  Basic Game Competency,120–190 hours (5–8 months),"70–80% routine. 
Difficult 20–30%.","Can build rally. 
Lob used as ""win the net"" tool.","Bandeja directional but inconsistent depth. 
Volleys maintain slow rallies."," + early Bandeja, early Smash, Smash x4"
D+  Сonfident Beginner,190–290 hours (8–12 months),"75–82% routine. 
Difficult 30–40%.","Anticipates choices sometimes. 
Resets under pressure.","Back wall defense works at medium pace. 
Safer bandeja."," + Bajada, early Vibora"
C-  Transitioning into Intermediate,290–430 hours (12–18 months),"80–86% routine. 
Difficult 40–50%.","Strong positioning.
Adjusts tempo intentionally.","Confident volleys. Bandeja with depth. 
Vibora appears sometimes."," + early Smash x3, early Gancho/Rulo, Chiqita, "
C  Intermediate,430–580 hours (1.5–2 years),"85–90% routine. 
Difficult 50–60%.","Selects tactics based on opponent. 
Controls point pace.","Reliable bandeja and bajada depth. 
Controlled smash selection. Vibora became the important weapon", + strong spin control 
C+  Strong Intermediate,> 580 hours (2+ years),"88–92% routine. 
Difficult 60–75%.","Leads point structure. 
Forces errors.","Uses volleys, bandeja, vibora, topspin smash by purpose. 
Land winners with high consistency.",alsmost every available tool in padel with many formations
,,,,,
"* It is assumed that experience is gained while playing with opponents of roughly the same level without additional training with coach.
Also, players who come from Tennis or Squash transfer their skills to padel much faster. Other racket sports also help, but the effect is weaker and becomes less noticeable as a player progresses into higher ranked levels.",,,,,
** Difficult ball is a ball with low rebund and high speed or slow ball that cought player offguard dirung high pace race,,,,,